,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
46,47,2401,松本　直久,,02:21:18(150位),03:33:05(70位),05:30:09(42位),07:59:16(44位),10:13:18(39位),16:10:30(44位),19:22:55(40位),21:23:35(37位),24:51:50(36位),26:59:15(34位),29:34:40(47位),08:33.15
47,48,2295,鳥居　悟,,02:16:06(77位),03:35:23(80位),05:50:52(87位),08:36:35(102位),11:04:42(89位),16:47:45(68位),19:53:29(59位),22:23:23(63位),25:53:41(59位),27:39:20(53位),29:39:43(48位),08:34.61
48,49,2170,今田　和美,MY STAR,02:12:27(59位),03:33:59(74位),05:41:55(61位),07:55:31(42位),10:32:26(51位),16:16:45(49位),20:18:29(65位),22:22:44(61位),25:52:22(57位),27:42:47(55位),29:43:39(49位),08:35.75
49,50,2382,堀越　由忠,彩湖ラファール,02:12:23(58位),03:35:51(84位),05:55:19(108位),08:23:10(78位),10:50:03(73位),16:31:22(59位),20:26:42(70位),23:01:12(75位),26:32:16(68位),28:06:57(63位),29:44:51(50位),08:36.10
50,51,2178,坂井　真弓,,02:22:52(164位),03:43:10(138位),06:01:32(128位),08:37:27(107位),11:10:00(98位),,22:20:27(147位),,25:53:36(58位),27:45:36(56位),29:46:50(51位),08:36.67
51,52,2279,辻野　喜仁,,02:16:03(76位),03:33:51(73位),05:48:27(78位),08:31:29(93位),11:05:00(91位),17:39:12(95位),20:24:47(67位),22:22:59(62位),25:39:57(54位),27:41:02(54位),29:48:43(52位),08:37.22
52,53,2407,水田　康秀,関トラ,02:15:58(75位),03:29:07(50位),05:30:27(43位),07:55:17(41位),10:16:11(44位),16:19:33(51位),19:44:51(54位),22:22:09(60位),25:55:30(61位),27:45:42(57位),29:48:55(53位),08:37.27
53,54,2043,今村　悟志,,02:18:55(115位),03:36:49(90位),05:46:11(72位),08:10:37(57位),10:29:56(49位),16:42:30(64位),19:52:46(56位),22:01:02(54位),25:29:04(49位),27:30:22(49位),29:53:54(54位),08:38.71
54,55,2296,鳥居　大輔,三丁目の鳥居家,02:22:03(156位),03:43:29(142位),06:01:50(129位),08:52:01(137位),11:38:52(140位),17:37:12(94位),20:39:53(78位),22:50:16(71位),26:22:43(64位),28:05:16(61位),29:56:30(55位),08:39.47
55,56,2246,滝澤　美香,,02:24:44(200位),03:41:16(124位),05:46:13(73位),08:10:55(58位),10:35:56(56位),16:42:33(65位),19:52:47(57位),22:05:01(55位),25:45:46(56位),27:47:37(60位),30:04:50(56位),08:41.88
56,57,2263,田中　賢,原パン連合会,01:53:54(5位),03:03:01(8位),05:00:43(11位),07:16:22(11位),09:29:52(12位),15:34:47(33位),19:24:18(41位),21:29:35(42位),25:28:37(48位),27:35:15(51位),30:11:33(57位),08:43.82
57,58,2172,斎藤　晃,チームふなち,02:25:45(218位),03:39:52(117位),05:58:57(123位),08:36:01(100位),11:00:55(84位),16:28:33(56位),19:29:15(45位),21:37:57(46位),25:40:59(55位),27:47:11(59位),30:20:25(58位),08:46.38
58,59,2251,竹内　竜也,練馬大根パン,02:22:54(165位),03:41:27(126位),05:52:48(91位),08:22:09(74位),10:38:28(58位),16:03:10(42位),18:53:51(37位),21:08:15(35位),24:40:37(33位),27:07:09(42位),30:27:16(59位),08:48.37
59,60,2268,田中丸　善太,,02:33:56(327位),03:59:45(270位),06:20:50(199位),09:06:34(178位),11:45:51(154位),17:44:45(101位),20:43:07(80位),22:46:56(69位),26:05:08(62位),27:45:47(58位),30:32:09(60位),08:49.78
60,61,2033,伊豆倉　健城,食堂パレス,02:03:54(23位),03:14:52(22位),05:09:44(21位),07:34:05(21位),09:49:42(20位),15:16:17(28位),18:10:24(25位),20:07:34(23位),24:25:42(30位),27:04:38(41位),30:36:56(61位),08:51.16
61,62,2391,松井　豊,ナイスおっさん,02:21:02(143位),03:36:36(88位),05:50:29(85位),08:21:12(72位),,17:05:42(75位),20:02:27(62位),22:08:51(58位),25:55:10(60位),28:06:13(62位),30:37:24(62位),08:51.29
62,63,2200,篠田　岳史,New Friend Running Club,02:04:32(25位),03:17:56(28位),05:39:57(55位),08:38:18(112位),11:03:45(88位),17:20:16(84位),20:28:17(72位),22:56:24(74位),26:27:47(66位),28:31:33(68位),30:39:22(63位),08:51.86
63,64,2324,野田　敬弘,肉体べんじょ派,02:20:30(133位),03:37:22(97位),06:02:06(130位),08:22:55(77位),10:44:50(63位),15:32:02(32位),18:26:34(27位),20:34:58(26位),24:23:30(29位),27:03:08(37位),30:39:36(64位),08:51.93
64,65,2390,松井　勝美,,02:13:46(67位),03:32:19(66位),05:56:39(115位),08:44:42(125位),11:18:51(111位),17:09:31(78位),20:28:18(73位),22:45:03(68位),26:30:26(67位),28:26:31(66位),30:44:11(65位),08:53.25
65,66,2421,村井　信一,,02:30:20(279位),03:46:49(169位),06:20:37(197位),09:01:17(163位),11:30:38(124位),17:46:53(102位),21:04:27(92位),23:32:54(90位),27:12:58(75位),29:02:29(72位),30:54:50(66位),08:56.34
66,67,2447,山本　元,,02:29:30(270位),03:54:12(225位),06:14:48(173位),08:37:49(109位),11:07:17(92位),17:00:49(73位),20:11:41(63位),22:25:56(65位),26:22:03(63位),28:30:12(67位),30:56:31(67位),08:56.82
67,68,2075,大竹　正明,高島平走友会,02:26:14(223位),03:47:07(170位),06:10:20(157位),08:45:13(126位),11:17:06(110位),17:14:38(81位),20:25:15(68位),22:37:10(66位),26:37:27(70位),28:42:27(69位),31:06:14(68位),08:59.63
68,69,2249,田口　雄一,,02:22:00(155位),03:40:54(122位),05:56:01(111位),08:51:20(134位),11:31:40(127位),17:42:16(97位),20:45:06(84位),22:54:21(73位),26:25:16(65位),28:25:16(65位),31:15:22(69位),09:02.27
69,70,2250,竹井　英美,,02:15:05(72位),03:37:38(98位),05:52:53(93位),08:35:21(98位),11:14:23(107位),17:13:48(80位),20:15:28(64位),22:40:20(67位),26:40:59(71位),28:58:26(71位),31:19:04(70位),09:03.34
70,71,2176,斉藤　渉,スポーツエイド・ジャパン弘前,02:09:25(41位),03:24:53(39位),05:54:26(102位),08:39:35(114位),11:09:55(97位),17:23:13(86位),20:39:22(77位),23:09:28(80位),26:58:59(72位),29:04:52(73位),31:28:00(71位),09:05.92
71,72,2269,田邉　拓也,オリエンティア軍団,02:03:24(18位),03:14:00(19位),05:09:36(20位),07:30:56(19位),10:03:13(31位),16:15:35(47位),20:01:53(61位),22:24:32(64位),26:33:07(69位),28:43:15(70位),31:35:13(72位),09:08.01
72,73,2144,蔵本　隆充,,02:30:45(282位),03:56:56(253位),06:15:34(175位),09:12:40(194位),11:58:37(176位),18:37:57(147位),21:58:04(130位),23:59:01(106位),27:31:47(84位),29:19:57(75位),31:35:42(73位),09:08.15
73,74,2259,立花　利之,としびっち,02:19:35(123位),03:44:51(149位),06:23:45(211位),09:04:47(169位),11:39:25(142位),17:54:23(108位),21:14:45(96位),,27:14:14(76位),29:23:21(76位),31:37:31(74位),09:08.68
74,75,2188,佐々木　利昭,,02:23:19(174位),03:50:35(202位),06:13:17(167位),08:37:33(108位),11:12:13(103位),17:19:02(83位),20:53:30(89位),23:25:03(88位),27:22:03(79位),29:43:46(80位),31:38:16(75位),09:08.89
75,76,2444,山中　俊郎,RUN DMC,02:20:22(132位),03:39:30(114位),05:56:49(116位),08:40:11(118位),11:19:02(113位),17:50:01(103位),21:41:46(112位),23:47:12(98位),27:25:46(82位),29:26:04(77位),31:42:55(76位),09:10.24
76,77,2456,吉田　佳史,,02:25:02(204位),03:55:21(238位),06:25:45(221位),09:26:28(225位),12:14:34(198位),18:39:25(149位),21:41:09(110位),23:48:42(99位),27:42:34(91位),29:46:10(82位),32:02:32(77位),09:15.91
77,78,2334,服部　伸,加波一族,02:19:30(122位),03:40:47(121位),06:00:53(125位),08:34:47(96位),11:04:58(90位),17:09:41(79位),20:40:35(79位),23:18:22(87位),27:09:36(74位),29:29:44(79位),32:03:55(78位),09:16.31
78,79,2266,田中　さゆり,,02:18:40(110位),03:38:48(108位),05:53:18(96位),08:30:19(88位),10:59:36(80位),17:33:02(90位),20:53:27(88位),23:25:10(89位),27:33:37(86位),29:49:27(85位),32:05:18(79位),09:16.71
79,80,2025,伊澤　忠支,武蔵ＵＭＣ,02:33:27(315位),04:00:47(274位),06:43:57(292位),09:37:24(256位),12:11:08(189位),18:18:21(127位),21:30:10(100位),23:46:03(95位),27:36:32(87位),29:44:12(81位),32:08:58(80位),09:17.77
80,81,2210,下田　瞬,いわてゆるラン,02:05:36(31位),03:19:59(31位),05:29:28(41位),08:04:32(50位),10:33:01(52位),16:47:55(69位),20:25:41(69位),23:06:47(79位),27:19:17(78位),29:29:29(78位),32:09:28(81位),09:17.92
81,82,2431,柳沢　智和,,02:37:51(373位),04:10:28(342位),06:42:15(286位),09:37:56(259位),12:26:07(228位),18:48:18(158位),22:11:11(142位),24:26:44(127位),27:50:38(94位),29:56:56(87位),32:11:05(82位),09:18.38
82,83,2370,船木　伸一,スリーゴリラズ,02:33:40(321位),03:59:41(267位),06:23:21(208位),09:06:32(177位),11:38:30(137位),17:52:46(106位),20:56:08(90位),23:13:50(84位),27:09:07(73位),29:12:13(74位),32:15:53(83位),09:19.77
83,84,2152,小池　秋久,サッポロ一番,02:27:16(241位),03:53:22(220位),06:15:11(174位),09:00:54(162位),11:37:59(136位),17:53:59(107位),20:52:13(87位),23:11:00(82位),27:22:40(80位),29:46:48(84位),32:16:57(84位),09:20.08
84,85,2030,石田　隆,熊谷熱走会,02:31:17(289位),04:02:59(293位),06:41:42(283位),09:34:54(248位),12:12:41(194位),18:24:55(134位),21:45:41(116位),24:03:54(110位),28:04:42(103位),30:02:12(90位),32:25:38(85位),09:22.59
85,86,2045,入谷　淳,,02:18:24(104位),03:39:38(115位),05:53:29(99位),08:31:21(91位),11:13:40(105位),17:36:04(93位),20:44:08(81位),23:06:06(78位),27:17:51(77位),29:46:12(83位),32:26:25(86位),09:22.82
86,87,2254,武田　典子,多摩川サブ３会,02:26:42(234位),03:49:57(198位),06:20:48(198位),09:12:25(193位),12:10:58(188位),18:15:59(123位),21:33:39(106位),23:46:06(96位),27:41:34(89位),29:58:10(88位),32:29:22(87位),09:23.67
87,88,2027,石黒　麻起子,,02:17:14(85位),03:38:24(106位),05:52:21(90位),08:21:25(73位),10:42:10(62位),16:17:00(50位),19:25:50(42位),21:42:47(51位),25:38:47(52位),28:21:37(64位),32:34:53(88位),09:25.27
88,89,2319,西田　裕,二子玉川走友会,02:27:48(249位),03:49:45(195位),06:12:08(164位),09:00:19(161位),11:50:00(163位),18:01:11(112位),21:31:21(101位),23:49:53(100位),27:53:11(96位),30:00:55(89位),32:35:51(89位),09:25.54
89,90,2040,井上　博,ＡＬＬ☆OUT,02:11:13(49位),03:30:55(59位),05:56:03(112位),08:30:56(90位),11:03:44(87位),17:43:54(99位),20:49:15(86位),23:04:48(76位),27:23:41(81位),29:54:29(86位),32:38:19(90位),09:26.26
90,91,2350,比田井　貴之,信州上田脚尽會,02:23:25(176位),03:51:57(212位),06:34:00(264位),09:30:34(236位),12:23:35(220位),18:26:26(137位),21:33:27(105位),23:37:16(91位),27:51:34(95位),30:16:10(97位),32:41:42(91位),09:27.24
91,92,2396,松田　清英,,02:21:04(144位),03:46:19(165位),06:11:31(161位),09:02:13(166位),11:46:26(156位),18:16:37(125位),21:33:02(103位),23:57:42(104位),27:42:31(90位),30:10:11(94位),32:44:16(92位),09:27.98
92,93,2260,立石　隆也,東京局,02:16:09(78位),03:39:16(112位),06:06:43(146位),08:52:05(138位),11:33:58(132位),18:09:23(120位),21:40:24(109位),24:00:52(108位),27:57:50(97位),30:09:12(93位),32:45:57(93位),09:28.46
93,94,2423,村上　泰広,,02:12:34(61位),03:26:50(46位),05:44:23(67位),08:16:45(68位),10:37:49(57位),17:41:38(96位),21:38:21(108位),23:57:03(103位),28:18:04(109位),30:10:32(95位),32:46:35(94位),09:28.65
94,95,2196,佐藤　基香,Team Trippers,02:25:11(206位),03:53:40(223位),06:14:17(171位),09:00:01(159位),11:44:59(151位),17:33:32(91位),21:03:57(91位),23:46:18(97位),28:02:23(101位),30:08:06(92位),32:51:28(95位),09:30.06
95,96,2380,堀　泰宏,無限会社ZERO,02:27:55(250位),03:55:47(244位),06:20:03(193位),08:59:52(157位),11:46:47(158位),18:01:43(113位),21:37:40(107位),24:00:53(109位),28:09:08(105位),30:31:11(104位),33:06:23(96位),09:34.37
96,97,2451,山谷　享誉,シーレックスRC,02:20:21(130位),03:36:46(89位),05:39:30(54位),08:06:00(53位),10:42:05(61位),16:42:23(63位),20:32:27(75位),23:44:21(93位),27:58:51(98位),30:26:33(102位),33:08:33(97位),09:35.00
97,98,2161,後藤　浩,ゴトウ・オレンジピールチョコレート,02:25:28(212位),03:49:26(187位),06:20:29(196位),09:11:14(188位),12:32:32(243位),18:43:32(152位),21:56:20(127位),24:27:28(128位),28:13:17(106位),30:19:12(100位),33:08:38(98位),09:35.03
98,99,2464,渡辺　達也,,02:36:21(364位),04:06:33(322位),06:38:21(274位),09:23:02(211位),11:55:43(173位),18:28:04(138位),21:58:28(131位),24:14:04(114位),28:18:42(111位),30:34:24(106位),33:13:46(99位),09:36.51
99,100,2357,深村　宣也,サトセナがんばるよー,02:17:16(87位),03:40:59(123位),06:02:22(131位),08:40:02(117位),11:26:01(119位),18:18:42(128位),22:02:47(133位),24:20:12(116位),28:28:06(116位),30:33:13(105位),33:18:57(100位),09:38.01
100,101,2163,小林　健二,チーム アキラ300％,02:25:44(217位),03:55:12(236位),06:26:40(224位),09:43:49(277位),12:59:00(301位),19:24:43(196位),22:43:21(165位),24:54:55(151位),28:38:19(122位),30:47:21(110位),33:20:01(101位),09:38.32
101,102,2211,守隨　吉将,,02:18:26(106位),03:42:47(135位),06:25:44(220位),09:06:01(175位),11:47:57(161位),18:19:26(130位),22:03:52(135位),24:21:15(119位),28:21:07(112位),30:36:23(107位),33:23:23(102位),09:39.29
102,103,2218,杉原　英之,,02:21:18(151位),03:47:42(178位),06:15:45(176位),08:59:33(156位),11:33:04(128位),17:35:46(92位),21:13:23(95位),23:41:51(92位),27:49:51(93位),30:17:28(99位),33:27:25(103位),09:40.45
103,104,2214,庄司　広之,,02:33:51(323位),04:05:34(315位),06:33:56(263位),09:22:27(209位),12:02:22(181位),18:01:44(114位),21:26:09(99位),23:52:14(101位),27:58:52(99位),30:26:00(101位),33:28:44(104位),09:40.83
104,105,2127,菊地　淳二,軽トラ,02:41:56(399位),04:06:24(321位),06:24:37(214位),09:05:23(172位),11:57:16(175位),18:19:41(131位),21:53:37(123位),24:15:52(115位),28:02:48(102位),30:29:20(103位),33:32:12(105位),09:41.84
105,106,2306,中嶋　一博,高浜走友会,02:22:56(167位),03:50:43(204位),06:21:09(201位),10:11:02(347位),13:24:22(338位),19:34:21(209位),22:54:16(174位),25:13:48(163位),29:01:27(131位),30:57:20(118位),33:32:47(106位),09:42.01
106,107,2087,岡部　陽介,サウルスジャパン,02:05:04(30位),03:27:30(48位),05:42:51(63位),08:27:22(86位),11:01:04(85位),17:30:34(89位),20:45:03(83位),23:11:52(83位),27:29:28(83位),30:05:40(91位),33:33:17(107位),09:42.15
107,108,2316,西尾　亜門,ＢＳ魂,02:21:14(147位),03:47:28(171位),06:11:58(162位),09:02:14(167位),11:47:16(159位),18:15:25(122位),21:56:13(126位),24:22:26(121位),28:37:10(120位),31:01:13(120位),33:36:16(108位),09:43.01
108,109,2244,高山　福太郎,,02:20:35(135位),03:32:55(69位),05:34:34(48位),08:00:55(46位),10:26:45(47位),17:22:13(85位),21:08:54(93位),23:53:25(102位),28:17:06(108位),30:48:42(112位),33:36:39(109位),09:43.12
109,110,2150,桑原　芳徳,東京速度男子,02:08:08(38位),03:26:01(45位),05:35:26(50位),08:31:26(92位),11:14:02(106位),17:44:42(100位),21:42:32(114位),24:34:33(137位),28:06:57(104位),30:16:22(98位),33:37:37(110位),09:43.40
110,111,2336,服部　良隆,ＦＲＵＮクジラ,02:31:35(295位),03:55:30(241位),06:16:28(177位),09:23:33(213位),12:26:19(231位),18:45:43(155位),22:06:04(136位),24:22:24(120位),28:26:26(114位),30:44:21(109位),33:38:03(111位),09:43.53
111,112,2076,大谷　司,王子スポーツクラブ,02:33:34(318位),03:58:58(262位),06:23:16(207位),09:22:48(210位),12:19:59(210位),19:22:30(191位),22:54:51(177位),25:16:47(169位),29:26:42(155位),31:36:11(142位),33:40:18(112位),09:44.18
112,113,2207,清水　崇弘,印旛練,02:26:44(236位),03:43:17(139位),05:53:13(95位),08:31:44(94位),11:09:16(96位),18:07:00(118位),21:55:26(124位),24:07:59(111位),28:18:13(110位),30:49:05(113位),33:42:12(113位),09:44.73
113,114,2308,長島　政史,,02:31:11(287位),03:56:55(252位),06:17:40(179位),09:02:33(168位),12:02:33(183位),19:02:56(171位),23:07:35(194位),25:29:05(184位),28:31:21(118位),30:49:22(114位),33:42:27(114位),09:44.80
114,115,2445,山村　浩太郎,鉄塔倶楽部,02:25:21(210位),03:45:27(155位),06:03:43(137位),08:41:47(120位),11:16:56(109位),17:06:39(77位),20:33:24(76位),23:18:10(86位),27:37:01(88位),30:14:06(96位),33:47:16(115位),09:46.19
115,116,2062,永住　英男,,02:29:25(267位),03:54:50(232位),06:22:33(205位),09:07:32(181位),12:15:10(199位),20:35:12(281位),24:07:24(272位),26:09:40(236位),30:03:12(206位),31:46:17(151位),33:48:47(116位),09:46.64
116,117,2446,山本　賀世,,02:34:41(339位),04:13:53(366位),07:09:18(386位),10:50:43(399位),13:45:49(371位),19:48:27(232位),23:03:04(186位),25:15:09(166位),29:24:44(152位),31:25:42(130位),33:58:33(117位),09:49.46
117,118,2248,田口　拓,danny街ラン部,02:39:04(384位),04:10:45(346位),06:46:02(307位),09:47:48(286位),12:40:57(265位),19:05:48(172位),22:01:41(132位),24:29:11(130位),28:38:50(123位),31:02:58(122位),34:01:16(118位),09:50.25
118,119,2115,鏑木　知穂,湘南スターズ,02:18:36(109位),03:41:21(125位),06:06:46(147位),08:59:16(153位),11:43:59(148位),18:19:15(129位),22:03:00(134位),24:20:49(117位),28:37:22(121位),31:13:51(124位),34:02:20(119位),09:50.55
119,120,2285,寺田　泰宏,SMTラン企画,02:27:15(240位),03:48:26(180位),06:18:22(183位),09:16:52(204位),12:12:25(192位),18:36:17(145位),22:10:18(140位),24:20:52(118位),28:24:18(113位),30:53:22(115位),34:03:08(120位),09:50.78
120,121,2051,岩根　康朗,アスロニアグータロー,02:24:48(202位),03:55:11(234位),06:38:45(275位),09:39:31(265位),12:23:54(221位),18:58:19(164位),22:08:05(137位),24:31:10(134位),28:43:23(126位),31:07:27(123位),34:06:14(121位),09:51.68
121,122,2414,箕輪　克美,ストライズ,02:34:14(333位),04:01:40(282位),06:33:14(256位),09:41:12(273位),12:35:24(250位),19:35:03(212位),23:17:37(209位),25:24:37(181位),29:26:19(153位),31:35:02(139位),34:06:46(122位),09:51.84
122,123,2399,松村　誠,MKC Running Club,02:26:08(222位),03:54:23(230位),06:14:05(169位),09:09:57(185位),12:08:28(186位),19:12:00(176位),23:05:32(190位),25:14:25(165位),29:19:59(148位),31:26:32(131位),34:06:51(123位),09:51.86
123,124,2276,千葉　正和,ラ・コスパ,02:28:24(258位),03:56:07(246位),06:31:30(248位),09:12:52(195位),11:59:15(178位),18:43:04(151位),22:10:01(139位),24:32:40(136位),29:20:32(149位),31:54:07(162位),34:08:22(124位),09:52.30
124,125,2101,小野　辰夫,I Love Vasto,02:33:26(314位),04:12:33(357位),06:58:26(360位),10:00:58(322位),12:59:30(303位),19:30:26(204位),22:52:01(172位),25:11:33(158位),28:59:11(127位),31:01:41(121位),34:09:03(125位),09:52.49
125,126,2274,Dala　Joey,LARENA SIQUIJOR,02:24:11(197位),03:49:09(185位),06:30:07(243位),09:37:27(257位),12:42:06(268位),19:49:17(233位),23:36:47(232位),25:49:33(211位),29:42:24(174位),32:00:15(169位),34:10:56(126位),09:53.04
126,127,2189,佐々木　美穂,,02:30:52(284位),04:04:48(306位),06:38:50(276位),09:37:08(255位),12:23:58(222位),18:51:01(161位),22:21:28(149位),24:36:55(138位),28:32:29(119位),31:30:29(135位),34:11:05(127位),09:53.08
127,128,2138,草間　亜樹,,02:18:20(102位),03:40:08(118位),06:05:18(142位),08:58:44(152位),12:15:10(200位),18:49:47(160位),22:27:44(155位),24:50:26(146位),29:02:51(136位),31:35:18(140位),34:11:44(128位),09:53.27
128,129,2092,小川　登志幸,ランジョグ,02:26:15(225位),04:00:54(275位),06:22:34(206位),09:15:37(203位),12:04:39(185位),18:33:50(143位),21:57:10(128位),24:27:34(129位),28:43:22(125位),31:19:13(127位),34:12:58(129位),09:53.63
129,130,2284,寺田　智哉,ＲＲＴ,02:29:15(264位),03:53:24(221位),06:04:40(141位),08:42:53(124位),11:22:26(114位),18:12:57(121位),21:53:35(122位),24:12:33(113位),28:28:12(117位),30:54:11(116位),34:14:09(130位),09:53.97
130,131,2307,中嶋　信太郎,神奈川登ろう会,02:20:39(137位),03:42:34(133位),05:55:44(109位),08:35:58(99位),11:10:25(99位),19:08:48(174位),22:54:53(178位),25:26:47(182位),29:46:21(178位),32:03:32(173位),34:16:47(131位),09:54.73
131,132,2052,上岡　裕,,02:26:43(235位),03:52:42(217位),06:19:20(189位),09:30:12(233位),12:18:37(204位),19:25:15(198位),23:18:32(210位),25:20:14(173位),29:03:29(137位),31:29:38(133位),34:19:03(132位),09:55.38
132,133,2113,金木　真奈,,02:26:48(237位),03:53:12(219位),06:19:25(190位),09:30:18(234位),12:18:46(206位),19:25:24(199位),23:18:51(211位),25:20:24(174位),29:03:29(138位),31:30:30(136位),34:19:09(133位),09:55.41
133,134,2420,牟田口　元,なし,02:35:04(350位),04:07:47(327位),06:53:15(341位),09:39:45(266位),12:28:10(233位),18:33:42(141位),21:50:57(120位),24:25:10(124位),29:00:35(129位),31:20:16(128位),34:20:54(134位),09:55.92
134,135,2459,若林　隆史,ランジョグ,02:23:49(187位),03:47:41(175位),06:29:18(237位),09:11:09(187位),12:32:40(244位),19:21:29(190位),23:01:35(184位),25:29:07(185位),,32:07:00(178位),34:21:13(135位),09:56.01
135,136,2290,東藤　義人,,02:32:55(310位),04:10:42(345位),06:49:15(323位),10:03:37(329位),13:02:35(309位),19:23:56(193位),22:55:10(179位),25:11:57(159位),29:15:15(145位),31:33:29(137位),34:23:00(136位),09:56.53
136,137,2287,田頭　朗央,,02:19:54(127位),03:38:13(105位),06:01:32(127位),08:25:14(83位),10:50:35(74位),16:50:38(71位),20:31:40(74位),23:05:05(77位),28:14:46(107位),30:54:31(117位),34:25:40(137位),09:57.30
137,138,2007,秋間　秀樹,OKJ TOKYO,02:21:10(146位),03:54:12(226位),06:29:01(233位),09:47:44(285位),12:59:06(302位),20:21:26(268位),23:19:22(212位),25:23:19(180位),29:09:10(141位),31:34:18(138位),34:26:29(138位),09:57.53
138,139,2435,山口　順也,,02:26:02(221位),03:51:51(211位),06:23:35(209位),09:24:32(215位),12:20:36(213位),19:48:12(231位),23:22:51(219位),26:01:06(226位),29:57:14(196位),32:10:48(185位),34:29:02(139位),09:58.27
139,140,2397,松林　勇人,ＲＲＴ,02:21:56(154位),03:40:22(119位),05:55:06(106位),08:36:39(103位),11:08:19(94位),16:57:37(72位),20:24:41(66位),22:52:37(72位),27:44:36(92位),30:48:37(111位),34:29:50(140位),09:58.50
140,141,2385,前泊　桂丞,前泊家の人々。,02:34:46(345位),04:13:55(367位),07:09:19(387位),10:50:59(400位),13:45:45(370位),20:48:29(292位),23:51:16(248位),26:12:45(241位),30:04:30(208位),32:02:22(171位),34:29:53(141位),09:58.52
141,142,2313,鍋島　由香里,,02:28:29(259位),03:54:21(229位),06:24:31(213位),09:14:27(200位),12:15:38(202位),18:32:39(140位),22:10:41(141位),24:26:30(126位),29:05:11(140位),31:18:09(125位),34:32:39(142位),09:59.32
142,143,2165,小林　義和,,02:41:06(396位),04:30:36(409位),07:00:50(364位),10:03:10(328位),13:08:56(316位),20:06:35(255位),23:28:09(225位),25:49:27(210位),29:43:16(176位),31:58:28(168位),34:32:40(143位),09:59.32
143,144,2099,落田　徹,OAG税理士法人,02:28:33(261位),03:46:15(162位),06:24:40(215位),09:11:29(189位),12:03:42(184位),18:38:34(148位),22:38:34(161位),24:42:18(141位),29:05:05(139位),31:18:32(126位),34:32:52(144位),09:59.38
144,145,2392,松尾　潤,,02:27:23(242位),03:55:30(240位),06:45:41(301位),09:37:43(258位),12:37:30(257位),19:29:59(203位),22:54:38(175位),25:10:40(157位),29:16:45(146位),31:22:26(129位),34:36:07(145位),10:00.32
145,146,2032,石野　久実,,02:32:16(304位),03:55:25(239位),06:29:51(240位),09:14:17(199位),12:23:18(219位),18:48:46(159位),22:23:27(150位),24:48:27(145位),29:14:49(144位),31:48:38(155位),34:36:34(146位),10:00.45
146,147,2203,柴田　誠二,Tomos Pit,02:43:15(406位),04:15:22(375位),06:50:15(329位),09:48:50(290位),12:41:05(266位),19:37:14(217位),22:59:27(183位),25:21:35(177位),29:23:44(151位),31:39:08(146位),34:36:44(147位),10:00.50
147,148,2462,和田　美佳,,02:31:38(296位),04:04:06(302位),06:45:15(297位),10:00:15(320位),12:55:17(288位),19:50:39(235位),23:01:55(185位),25:19:37(172位),29:38:55(169位),31:46:23(152位),34:37:08(148位),10:00.62
148,149,2147,栗原　幸夫,らんこよ,02:32:58(312位),03:55:37(242位),06:25:16(219位),09:25:34(222位),12:15:39(203位),19:02:31(169位),22:29:50(156位),24:46:15(144位),29:02:17(134位),31:27:51(132位),34:38:24(149位),10:00.98
149,150,2457,吉永　裕之,,02:23:49(186位),03:42:15(130位),06:03:31(135位),09:05:22(171位),11:54:03(169位),19:32:46(207位),22:54:51(176位),25:22:28(179位),29:38:13(168位),32:21:41(201位),34:38:24(150位),10:00.98
150,151,2440,山下　佳久,Team Green,02:27:55(251位),04:08:38(329位),06:46:41(310位),09:43:47(276位),12:29:57(237位),19:32:04(206位),23:05:56(191位),25:32:21(189位),29:40:09(172位),31:54:47(164位),34:39:28(151位),10:01.29
151,152,2366,藤森　亜希子,MoriMori,02:17:57(99位),03:47:42(177位),06:18:30(184位),09:13:09(197位),11:55:02(170位),18:37:14(146位),22:08:56(138位),24:45:35(142位),29:13:10(142位),31:36:16(143位),34:40:19(152位),10:01.54
152,153,2079,大沼　慎也,慶大陸上同好会,02:43:57(411位),04:20:27(395位),06:48:35(317位),10:04:10(331位),13:14:54(323位),20:30:57(278位),23:54:09(256位),26:11:44(238位),30:04:44(210位),32:10:30(184位),34:40:21(153位),10:01.55
153,154,2294,土肥　靖弘,神奈川登ろう会,02:23:05(170位),03:48:52(183位),06:24:10(212位),09:35:16(251位),12:29:49(235位),19:31:48(205位),22:58:18(182位),25:21:43(178位),,31:51:54(158位),34:40:23(154位),10:01.56
154,155,2413,峰岸　幸雄,,02:18:35(108位),03:52:44(218位),06:36:33(268位),09:49:50(293位),12:53:36(285位),20:15:33(262位),23:28:40(226位),25:54:04(219位),29:51:44(189位),31:52:01(160位),34:40:48(155位),10:01.68
155,156,2374,星　麻樹,弘前公園RC,02:29:37(272位),03:58:58(261位),06:29:08(234位),09:15:01(201位),12:02:28(182位),18:58:27(165位),22:33:40(158位),25:08:53(154位),29:21:12(150位),31:46:43(153位),34:41:01(156位),10:01.73
156,157,2379,帆引　豊,,02:30:25(280位),03:57:57(257位),06:32:09(252位),09:31:20(241位),12:33:37(246位),19:23:59(194位),22:56:20(181位),25:21:26(176位),29:35:43(164位),31:45:03(150位),34:41:01(157位),10:01.74
