,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
388,途中棄権,2442,山田　剛久,うさぎ組,02:34:43(342位),04:18:47(389位),07:05:14(375位),10:33:05(387位),14:00:20(384位),,,,,,,09:09.84
389,途中棄権,2317,西城戸　智,TU39,02:34:19(334位),04:21:22(396位),07:26:12(407位),10:46:27(395位),14:03:12(386位),,,,,,,09:11.71
390,途中棄権,2223,鈴木　聡,,02:38:38(381位),04:30:51(410位),07:28:54(409位),10:46:52(398位),14:04:28(387位),,,,,,,09:12.54
391,途中棄権,2465,渡辺　直喜,ヤングピーナッツスポーツ,02:26:34(230位),03:54:39(231位),06:44:06(293位),10:25:24(372位),14:08:38(388位),,,,,,,09:15.27
392,途中棄権,2217,白土　貴啓,MPSJ,02:43:55(410位),04:27:35(403位),07:36:37(415位),10:52:51(405位),14:13:14(389位),,,,,,,09:18.28
393,途中棄権,2055,浮須　健司,CR.m,02:47:35(420位),04:29:48(406位),07:30:10(411位),11:06:48(408位),14:17:03(390位),,,,,,,09:20.77
394,途中棄権,2103,鏡畑　良弘,湘南ゆるゆる／バンバンクラブ,02:52:41(425位),04:39:46(418位),07:40:45(416位),10:59:27(406位),14:27:58(391位),,,,,,,09:27.92
395,途中棄権,2148,栗山　勇樹,平岸脳神経クリニック,02:38:31(379位),04:11:44(352位),07:02:12(368位),10:33:00(386位),14:30:11(392位),,,,,,,09:29.37
396,途中棄権,2335,服部　雅博,東京メールサービス,02:46:20(419位),04:26:55(400位),07:29:36(410位),11:10:19(409位),14:32:49(393位),,,,,,,09:31.09
397,途中棄権,2090,岡本　敏明,宇都宮トレラン愛好家の集い,01:52:52(4位),02:59:09(4位),04:42:56(5位),06:46:14(5位),,,,,,,,05:35.73
398,途中棄権,2121,川杉　恒夫,３ＵＰ．,02:18:30(107位),03:32:05(65位),05:36:46(51位),08:11:41(59位),,,,,,,,06:46.35
399,途中棄権,2341,林　良英,社労士会江東,02:13:19(65位),03:36:58(92位),06:23:36(210位),09:08:51(183位),,,,,,,,07:33.60
400,途中棄権,2124,川端　宏治,県庁走友会,02:20:21(130位),03:48:39(181位),06:30:50(246位),10:00:11(319位),,,,,,,,08:16.01
401,途中棄権,2412,南　憲次,チーム河野,02:29:29(269位),04:02:16(286位),06:51:27(335位),10:11:13(348位),,,,,,,,08:25.14
402,途中棄権,2429,矢口　正暁,オンコランナーズ,02:37:27(370位),04:13:42(364位),07:01:40(367位),10:30:52(382位),,,,,,,,08:41.38
403,途中棄権,2455,吉田　希,WindRun,02:40:26(394位),04:14:51(374位),07:28:37(408位),10:45:01(394位),,,,,,,,08:53.07
404,途中棄権,2365,藤原　亜由子,TBA,02:34:47(347位),04:13:22(360位),07:12:09(395位),10:46:43(396位),,,,,,,,08:54.47
405,途中棄権,2132,北野　京子,川越走友会,02:34:47(346位),04:13:26(362位),07:12:13(398位),10:46:45(397位),,,,,,,,08:54.50
406,途中棄権,2168,小宮山　茂,埼玉大井RC,02:45:01(414位),04:35:42(415位),07:33:07(412位),10:51:05(401位),,,,,,,,08:58.09
407,途中棄権,2241,高橋　由美,ランジョグ,02:34:57(348位),04:14:13(368位),07:09:34(388位),10:51:25(402位),,,,,,,,08:58.36
408,途中棄権,2233,高尾　昌明,高重記念クリニック,02:35:35(356位),04:04:35(304位),07:09:37(389位),10:51:46(403位),,,,,,,,08:58.65
409,タイムオーバー,2175,齋藤　基,もぐらクラブ,02:31:15(288位),,07:22:47(403位),11:00:22(407位),,,,,,,,09:05.76
410,途中棄権,2179,阪田　泰一,泰東産業RC,02:31:57(301位),03:56:38(249位),06:13:04(166位),,,,,,,,,07:08.81
411,途中棄権,2265,田中　公司,,02:38:45(382位),04:12:59(359位),06:41:27(282位),,,,,,,,,07:41.43
412,途中棄権,2443,山田　維大,Rumilito,02:34:20(335位),04:10:36(343位),07:07:02(379位),,,,,,,,,08:10.84
413,途中棄権,2281,鶴田　園子,荒砥走友会,02:50:22(421位),04:30:36(408位),07:22:06(402位),,,,,,,,,08:28.17
414,途中棄権,2344,原　文堅,パンパンやな,02:42:20(400位),04:24:14(399位),07:34:03(413位),,,,,,,,,08:41.91
415,途中棄権,2088,岡本　昭,,02:33:47(322位),04:30:07(407位),07:36:17(414位),,,,,,,,,08:44.47
416,途中棄権,2117,上口　恭生,,02:44:09(412位),04:32:49(412位),07:43:17(417位),,,,,,,,,08:52.51
417,タイムオーバー,2160,小塚　哲也,鴻巣たのしく走る会,02:43:25(407位),04:35:33(414位),07:44:46(418位),,,,,,,,,08:54.22
